product_id,purchase_date,category,brand,season,size,color,stock_quantity,original_price,markdown_percentage,current_price,customer_rating,is_returned,return_reason
FB007124,2025-05-05,Bottoms,Gap,Spring,L,Blue,4,37.81,0.0,37.81,3.3,False,
FB009939,2024-11-25,Shoes,Forever21,Fall,XL,Navy,45,84.46,0.3,59.12,4.7,False,
FB009768,2025-01-25,Bottoms,Gap,Winter,XL,Pink,41,49.58,0.5,24.79,,False,
FB007286,2024-08-08,Dresses,Gap,Summer,L,Green,25,63.9,0.0,63.9,4.2,False,
FB006562,2024-04-07,Outerwear,Ann Taylor,Spring,M,Blue,30,129.0,0.3,90.3,3.9,False,
FB008318,2024-04-03,Accessories,Uniqlo,Spring,,White,8,52.88,0.1,47.59,2.5,False,
FB004521,2024-03-02,Shoes,Gap,Spring,XL,Pink,27,57.87,0.0,57.87,2.5,True,Wrong Item
FB000772,2024-10-21,Shoes,Ann Taylor,Fall,XL,Beige,6,61.82,0.2,49.46,1.9,False,
FB000894,2025-07-23,Dresses,Forever21,Summer,M,White,35,70.17,0.0,70.17,4.5,False,
FB007451,2024-01-27,Tops,H&M,Winter,XL,Purple,44,76.94,0.0,76.94,3.9,False,
FB005935,2024-12-13,Outerwear,H&M,Winter,M,Black,9,153.7,0.2,122.96,4.1,False,
FB005821,2024-04-03,Accessories,Gap,Spring,,Pink,46,22.32,0.5,11.16,1.5,True,Color Mismatch
FB009768,2025-08-04,Bottoms,Gap,Summer,XL,White,3,49.58,0.0,49.58,4.8,False,
FB009939,2024-10-05,Shoes,Forever21,Fall,L,Purple,13,84.46,0.0,84.46,4.4,False,
FB000646,2024-04-26,Accessories,H&M,Spring,,Red,31,55.65,0.0,55.65,2.7,False,
FB003697,2025-11-14,Dresses,Forever21,Fall,M,Black,13,122.96,0.1,110.66,,False,
FB003347,2024-09-18,Accessories,Gap,Fall,,Beige,8,57.06,0.1,51.35,2.6,False,
FB009730,2025-06-29,Tops,Zara,Summer,XXL,Gray,4,44.51,0.0,44.51,2.6,False,
FB009799,2024-02-13,Shoes,Ann Taylor,Winter,L,Black,27,106.91,0.0,106.91,,False,
FB005870,2025-02-18,Accessories,Zara,Winter,,Purple,10,20.93,0.0,20.93,,True,Color Mismatch
FB009670,2025-01-05,Outerwear,Zara,Winter,XS,Blue,33,101.46,0.0,101.46,3.1,False,
FB007788,2025-02-09,Shoes,Forever21,Winter,M,Red,33,66.69,0.2,53.35,,False,
FB002241,2024-07-17,Shoes,Uniqlo,Summer,M,Red,15,138.11,0.0,138.11,3.7,False,
FB000888,2024-05-29,Bottoms,Banana Republic,Spring,M,Gray,11,58.78,0.2,47.02,3.5,False,
FB005662,2025-04-20,Bottoms,Forever21,Spring,XL,Brown,40,35.17,0.0,35.17,3.0,False,
FB005814,2025-10-04,Bottoms,Forever21,Fall,M,Navy,50,64.13,0.0,64.13,3.9,False,
FB009698,2025-08-28,Tops,Zara,Summer,XS,Red,3,74.42,0.0,74.42,2.4,False,
FB006233,2024-10-20,Shoes,Mango,Fall,XS,Purple,32,150.84,0.0,150.84,3.0,False,
FB007439,2025-04-18,Accessories,Uniqlo,Spring,,Brown,28,46.63,0.0,46.63,3.3,False,
FB001802,2025-10-29,Tops,Uniqlo,Fall,S,Red,28,67.91,0.0,67.91,3.5,False,
FB000888,2024-12-17,Bottoms,Banana Republic,Winter,XXL,White,28,58.78,0.0,58.78,4.3,False,
FB003994,2025-06-20,Outerwear,Ann Taylor,Summer,XL,Brown,49,246.64,0.3,172.65,2.7,False,
FB007435,2025-11-26,Outerwear,Gap,Fall,XL,Black,6,139.81,0.0,139.81,3.7,False,
FB007451,2025-11-25,Tops,H&M,Fall,L,Beige,9,76.94,0.2,61.55,3.9,False,
FB000894,2024-11-13,Dresses,Forever21,Fall,XXL,Purple,42,70.17,0.1,63.15,1.8,True,Color Mismatch
FB003697,2024-04-05,Dresses,Forever21,Spring,XXL,Purple,11,122.96,0.0,122.96,3.9,False,
FB006212,2024-12-15,Tops,Mango,Winter,L,Gray,32,45.23,0.2,36.18,2.5,True,Size Issue
FB001912,2025-06-23,Accessories,Uniqlo,Summer,,Black,38,44.22,0.0,44.22,2.0,False,
FB001331,2024-06-06,Accessories,Mango,Summer,,Navy,43,26.91,0.2,21.53,4.7,True,Color Mismatch
FB001989,2025-03-30,Outerwear,Zara,Spring,XL,Beige,15,174.76,0.0,174.76,4.7,False,
FB005935,2025-04-25,Outerwear,H&M,Spring,S,Red,49,153.7,0.0,153.7,4.4,False,
FB006907,2025-01-26,Bottoms,Banana Republic,Winter,XL,Pink,38,49.48,0.0,49.48,3.1,False,
FB003347,2024-09-13,Accessories,Gap,Fall,,Black,6,57.06,0.0,57.06,2.2,False,
FB004836,2024-05-07,Accessories,Forever21,Spring,,Beige,9,19.06,0.2,15.25,4.1,False,
FB004480,2024-04-03,Outerwear,Uniqlo,Spring,S,Green,25,166.51,0.0,166.51,3.5,False,
FB006485,2025-01-17,Bottoms,Uniqlo,Winter,S,Blue,45,31.54,0.0,31.54,2.3,True,Size Issue
FB009529,2024-05-29,Outerwear,Mango,Spring,S,Black,45,132.06,0.5,66.03,3.6,False,
FB007995,2025-04-04,Accessories,Banana Republic,Spring,,Brown,9,57.94,0.1,52.15,,False,
FB001623,2025-09-15,Outerwear,Forever21,Fall,XL,Blue,26,230.52,0.3,161.36,1.7,True,Quality Issue
FB002493,2024-03-05,Accessories,Banana Republic,Spring,,White,40,32.37,0.0,32.37,4.6,False,
FB005978,2025-08-11,Bottoms,Ann Taylor,Summer,S,Navy,11,32.34,0.1,29.11,2.9,True,Damaged
FB006119,2025-06-20,Accessories,Uniqlo,Summer,,Red,40,32.95,0.1,29.66,4.0,False,
FB008923,2025-01-17,Accessories,Mango,Winter,,Beige,15,34.13,0.0,34.13,3.1,False,
FB005560,2025-08-18,Accessories,H&M,Summer,,Red,11,17.73,0.3,12.41,3.7,False,
FB002362,2025-05-05,Dresses,Ann Taylor,Spring,XXL,Navy,29,41.69,0.0,41.69,,False,
FB009126,2024-10-27,Tops,Ann Taylor,Fall,S,Black,19,42.77,0.0,42.77,3.8,False,
FB005978,2025-02-11,Bottoms,Ann Taylor,Winter,XL,Green,3,32.34,0.2,25.87,2.6,False,
FB008042,2024-10-06,Outerwear,Mango,Fall,XS,Red,24,197.4,0.0,197.4,4.8,False,
FB007435,2024-07-10,Outerwear,Gap,Summer,L,Green,5,139.81,0.3,97.87,4.3,False,
FB000225,2025-09-08,Tops,Forever21,Fall,S,Pink,19,38.65,0.1,34.78,,False,
FB004892,2025-09-09,Bottoms,Zara,Fall,XXL,Blue,39,49.8,0.5,24.9,4.7,True,Color Mismatch
FB002523,2024-10-08,Outerwear,H&M,Fall,XXL,Black,43,190.11,0.5,95.06,4.5,False,
FB004326,2024-02-01,Tops,Gap,Winter,S,Brown,15,32.22,0.0,32.22,3.9,False,
FB006819,2025-01-05,Dresses,Mango,Winter,L,Brown,23,53.03,0.2,42.42,4.6,False,
FB008319,2024-03-19,Outerwear,Gap,Spring,XL,Navy,15,238.82,0.0,238.82,2.1,False,
FB003873,2024-01-27,Dresses,H&M,Winter,XXL,Navy,16,141.9,0.0,141.9,2.7,False,
FB006884,2025-04-01,Outerwear,Zara,Spring,S,Brown,28,115.16,0.5,57.58,1.8,True,Size Issue
FB000686,2025-03-31,Shoes,Forever21,Spring,XS,Purple,45,105.87,0.0,105.87,3.1,False,
FB001744,2025-07-17,Shoes,Forever21,Summer,XL,Beige,44,116.0,0.0,116.0,3.3,False,
FB000654,2025-01-05,Bottoms,Gap,Winter,XL,Gray,1,92.93,0.2,74.34,2.9,True,Damaged
FB006566,2025-07-21,Outerwear,H&M,Summer,XL,Red,5,219.76,0.0,219.76,4.4,False,
FB001744,2024-11-12,Shoes,Forever21,Fall,L,Green,4,116.0,0.0,116.0,3.2,False,
FB008884,2024-11-20,Tops,Zara,Fall,XXL,White,49,54.75,0.0,54.75,3.0,False,
FB007286,2025-10-17,Dresses,Gap,Fall,XL,Navy,3,63.9,0.0,63.9,,False,
FB004862,2025-06-14,Accessories,Ann Taylor,Summer,,Navy,22,21.97,0.2,17.58,3.8,False,
FB002166,2024-10-17,Bottoms,Banana Republic,Fall,XS,Beige,34,42.29,0.3,29.6,,False,
FB005414,2025-05-29,Tops,H&M,Spring,XXL,Navy,46,74.33,0.0,74.33,2.4,True,Changed Mind
FB005633,2025-07-31,Bottoms,Ann Taylor,Summer,XS,Black,26,68.74,0.3,48.12,4.4,False,
FB005821,2025-05-24,Accessories,Gap,Spring,,Purple,43,22.32,0.0,22.32,2.0,True,Quality Issue
FB002871,2024-10-31,Shoes,Zara,Fall,L,White,29,149.2,0.0,149.2,4.8,False,
FB007145,2024-12-14,Tops,Uniqlo,Winter,XL,Navy,25,22.66,0.3,15.86,4.3,False,
FB008321,2025-01-14,Outerwear,Forever21,Winter,XL,Pink,9,89.67,0.2,71.74,2.7,True,Quality Issue
FB009356,2024-02-21,Tops,Forever21,Winter,M,Blue,10,63.4,0.0,63.4,1.3,False,
FB008465,2025-08-14,Accessories,Uniqlo,Summer,,Red,31,40.01,0.2,32.01,4.4,False,
FB006883,2025-05-24,Dresses,Gap,Spring,XS,White,13,41.39,0.0,41.39,4.1,False,
FB008544,2024-12-27,Shoes,Zara,Winter,XS,Black,16,144.54,0.5,72.27,4.2,True,Size Issue
FB006819,2025-02-16,Dresses,Mango,Winter,M,Black,35,53.03,0.0,53.03,4.3,False,
FB004052,2024-03-16,Accessories,Zara,Spring,,Blue,43,48.94,0.0,48.94,2.0,True,Changed Mind
FB000036,2024-05-11,Outerwear,Zara,Spring,XS,Blue,9,107.99,0.3,75.59,3.2,False,
FB009775,2025-09-08,Tops,Uniqlo,Fall,XL,Blue,21,22.3,0.0,22.3,,False,
FB001481,2025-06-15,Accessories,Uniqlo,Summer,,Green,10,59.88,0.2,47.9,2.3,False,
FB007680,2025-09-23,Shoes,Uniqlo,Fall,XXL,Beige,31,107.09,0.0,107.09,4.5,False,
FB009081,2024-11-02,Tops,Mango,Fall,L,Black,50,24.12,0.1,21.71,4.0,False,
